psraid,sample,form,int_date,lang,state,cregion,density,usr,pial1a,pial1b,pial2a,pial2b,pial2c,pial2d,pial2e,pial3a,pial3b,pial3c,pial3d,pial4a,pial4b,pial4c,pial5,relig,chr,born,attend,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,ideo,raceos,pial5os,religos,zipcode,weight,standwt
100372,1,1,21414,1,53,4,1,R,8, ,4,1,4,4,2,1,2,1,2,1,1,2,4,1, ,2,4,1, , ,2,3,2,1,67,3,2,1,8,4,1,2, ,3, , , ,98563,2,.612832129300845
100377,1,2,21414,1,33,1,3,U, ,2,1,1,3,1,3,1,2,3,2,2,1,1,98,12, , ,6,1, , ,2,1,1,2,37,6,2,3,7,4,1,2, ,5, , , ,03051,4.2,1.28694747153177
100383,1,1,21414,1,6,4,2,U,2, ,4,2,2,4,8,2,2,2,2,2,8,2,98,11,1,2,6,1, , ,1,3,2,1,70,7,2,1,2,1,1,3,2,8, , ,EXOSTENTIALIST,95340,1,.306416064650422
100385,1,1,21414,1,6,4,4,U,2, ,2,2,2,8,3,3,3,3,1,2,1,1,1,1, ,2,2,1, , ,1,3,2,2,71,6,2,3,1,1,1,3,2,3, , , ,95823,1,.306416064650422
100390,1,1,21414,1,53,4,1,R,1, ,3,3,2,3,8,2,2,1,8,1,1,2,98,1, ,1,1,1, , ,1,3,2,1,61,8,2,1,2,1,1,3,9,2, , , ,98837,1,.306416064650422
100394,1,1,21514,2,35,4,1,U,2, ,2,2,2,2,2,1,8,8,1,2,1,2,98,2, ,1,2,2,2, ,1,2,2,2,45,3,1,1,1,1,2,2, ,2, , , ,87018,2.43333333333333,.745612423982695
100397,1,2,21514,2,35,4,1,R, ,2,2,2,2,3,2,1,1,1,1,2,1,1,2,2, ,2,3,1, , ,1,1,1,2,54,1,1,1,2,1,3,2, ,2, , , ,88240,1.66666666666667,.510693441084037
100413,1,2,21414,2,6,4,2,U, ,1,2,2,3,3,2,2,1,1,2,2,2,2,98,13, ,1,1,1, , ,2,2,2,2,54,2,1,9,4,2,1,2, ,2, , , ,93906,2.76666666666667,.847751112199502
100418,1,2,21414,1,47,3,2,S, ,2,4,2,3,4,4,3,2,3,2,2,2,1,7,13, ,1,1,1, , ,1,3,2,2,52,5,2,1,8,4,1,1, ,1, , , ,37043,2.23333333333333,.68432921105261
100423,1,1,21414,1,8,4,2,U,1, ,3,4,8,4,4,2,8,1,2,2,2,2,98,1, ,8,5,1, , ,2,3,2,1,66,3,2,4,3,1,3,2, ,2, , , ,80916,1.7,.520907309905718
100424,1,2,21414,1,5,3,1,R, ,2,3,3,3,4,3,2,2,2,2,2,1,2,7,1, ,1,1,1, , ,2,1,2,2,58,4,2,1,6,3,1,1, ,2, , , ,72581,2.76666666666667,.847751112199502
100432,1,1,21414,1,48,3,5,U,1, ,4,2,4,3,3,1,1,1,1,1,1,2,6,12, , ,4,1, , ,2,1,1,1,41,8,2,1,9,4,1,2, ,4, , , ,77005,3.5,1.07245622627648
100436,1,2,21414,1,1,3,3,U, ,2,3,3,3,4,3,2,2,2,2,2,2,2,97,1, ,2,3,2,2, ,1,3,2,1,79,2,2,2,3,1,1,2, ,3, , , ,35208,2.46666666666667,.755826292804375
